i,d_cosine_ratio[i],d_coMat_ratio[i],s_cosine_ratio[i],s_coMat_ratio[i],countSq
151,0.055979139296,0.0632380952381,0.154476866601,0.199648968846,510.0
152,0.707524755431,0.510257454608,0.850279793414,0.620855363937,27562.0
153,0.497076798724,0.521887651822,0.714901393212,0.488650842339,7451.0
154,0.597725064643,0.302490177952,0.569312387187,0.272676709154,45117.0
155,0.551992000631,0.408096152046,0.608784494797,0.459939460502,80800.0
156,0.414380198948,0.344615555063,0.625579768667,0.502672540382,4327.0
157,0.0972719948158,0.188249001332,0.285174128561,0.458765915769,3568.0
158,0.277542953222,0.386363636364,0.406396915277,0.615465433915,2300.0
159,0.10118899112,0.0983263598326,0.243421325549,0.213759213759,59.0
160,0.117444384424,0.232631578947,0.207406244744,0.319765739385,1259.0
161,0.268853711413,0.231950844854,0.300992651916,0.281229980782,294.0
162,0.251285269982,0.256606990622,0.222981435122,0.284916201117,162.0
163,0.304902560279,0.408941755537,0.495761217648,0.561983471074,307.0
164,0.0982176147943,0.118829981718,0.281512673182,0.235756385069,854.0
165,0.056242123126,0.127192982456,0.147371693454,0.281927710843,152.0
166,0.219691802869,0.210483210483,0.319751977732,0.29500805153,1279.0
168,0.38321528533,0.470501474926,0.384216999367,0.490055688146,372.0
171,0.108149106875,0.305185185185,0.104024981173,0.173649393605,413.0
172,0.0163103611773,0.165158371041,0.0715257325426,0.247023809524,37.0
173,0.0813876475173,0.149245229279,0.256644660911,0.28515497553,766.0
174,0.301386205358,0.510795544528,0.53090638558,0.535483118549,6133.0
175,0.336058228774,0.403177004539,0.407829664437,0.488636363636,385.0
176,0.352218547882,0.371683798336,0.398663808414,0.338934745785,25022.0
177,0.320993534613,0.393617021277,0.433981518636,0.339195979899,70.0
178,0.0340808865059,0.016501650165,0.170123315466,0.185810810811,14.0
179,0.227458956771,0.251159769902,0.252142379996,0.281139530048,15929.0
180,0.549607008716,0.465289982425,0.652482347784,0.663969335605,394.0
181,0.50225457046,0.255083682804,0.750829836839,0.576034234842,75253.0
183,0.639405082508,0.566451115584,0.709199066937,0.636401523045,62358.0
184,0.236900488864,0.199173932997,0.226269722503,0.245179063361,467.0
185,0.281704149217,0.301911593495,0.561450850153,0.452925452925,19433.0
186,0.664549462925,0.596014522314,0.6994464227,0.582510954818,196373.0
187,0.194644174445,0.307692307692,0.0690301529594,0.124393203883,214.0
188,0.20226943326,0.198670080364,0.775611879938,0.638248198688,4921.0
189,0.558127197951,0.465022889728,0.604321442462,0.461841970166,27332.0
190,0.731135045809,0.407292841599,0.77131836193,0.535257605191,92875.0
191,0.275452900907,0.39052496799,0.321115846197,0.255095108696,445.0
192,0.433413107729,0.344196823842,0.69572974072,0.615967702934,55546.0
195,0.151842723664,0.0870482722237,0.670274294785,0.446997237167,5061.0
196,0.529799836223,0.417445482866,0.736812451416,0.553478712357,127.0
197,0.461379308574,0.326699781694,0.483511280383,0.389691351371,32807.0
198,0.195254964754,0.143316019683,0.355651915836,0.585220410628,14078.0
199,0.773195721466,0.506732737262,0.861156626528,0.377892813642,2426.0
